,,,文案思考中,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,游戏流程,,这里之会严格一行为一次交互：就是鼠标点一次为一行表格,,画面,音效备注,,,,,,,,,,,,,
,游戏开始,,,,,,,,,,,,,,,,,,
,,beginning,"播片小文字：
报丧的钟声自震颤的深山中流淌而出，铺下收割的阴翳，【山，留下一些粘稠黑色液体/其他表现】
悲伤轻捂自己的面孔，覆上女孩的眼眸【女孩眼睛，哭泣，大概】
让破碎的愿望被拾起，让消散的记忆被铭记【散落的物品被装进包裹】
让爱与遗憾抵抗疯狂与遗忘【眼泪滴进包裹然后发光？】
以及那流浪在惊惧中的灵魂呀，乘着爱人温暖的手回到故乡吧【画面是拾忆晕倒，可以是很多手虚抚她的背景/发挥】
（这里意思既是说拾忆去拾取亲友遗物，将他们送回故乡铭记他们，又是说拾忆在经历创伤之后，是通过回忆亲友对自己的爱才重拾力气生活起来和对抗邪神成功。）",,播片画面提示/建议写在【】内,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,黑屏,医院的一些声音 滴滴滴声,,,,,,,,,,,,,
,,,小咪，最好的小咪，最初的预警者。,,关卡开始动画,,,,,,,,,,,,,,
,进入场景1,,小咪：,你终于醒啦！,场景1，小咪和主角立绘和对话框,,,,,,,,,,,,,,
,,,？？：,这是哪里....?我是谁?为什么猫可以说话...,,,,,,,,,,,,,,,
,,,小咪：,人，你在说什么呢！咪是你救回来的猫呀，不记得了吗？,,,,,,,,,,,,,,,
,,,小咪：,咪记得别人都叫你拾忆！,,,,,,,,,,,,,,,
,,,拾忆：,哦哦....但是我什么都不记得了，头也很痛....,,,,,,,,,,,,,,,
,,,小咪：,没关系！一个黑乎乎的东西和带着你的味道说，只要来教你怎么恢复记忆，咪就能再见你一面！,,,,,,,,,,,,,,,
,进入局内1,,小咪：,让咪来教你！,,,,,,,,,,,,,,,
,,,教程/规则,,,,,,,,,,,,,,,,
,,,小咪:,xxxxx（待）,,,,,,,,,,,,,,,
,,,小咪:,,,,,,,,,,,,,,,,
,,,小咪：,看来你已经会啦！,,,,,,,,,,,,,,,
,,,小咪：,咪的时间不多了，该走了，要加油呀小人类！,,,,,,,,,,,,,,,
,,固定事件,,,,,,,,,,,,,,,,,
,进入场景1,"固定事件1
·小咪",布鱼的肚皮里缝着姥姥的爱,,,,,,,,,,,,,,,,
,,,纸箱里还剩下半桶没吃完的夏天,,,,,,,,,,,,,,,,
,,,它总是最先竖起毛茸茸的耳朵,,,,,,,,,,,,,,,,
,,,听见风里发霉的呢喃,,,,,,,,,,,,,,,,
,,,没有谁教过一只流浪猫如何猎杀神明,,,,,,,,,,,,,,,,
,,,小咪只是弓起背，向不知名的恐惧尽全力尖叫,,,,,,,,,,,,,,,,
,,,替那个喂它罐头的女孩，挡住阴翳的疯狂,,,,,,,,,,,,,,,,
,,,就让我做你梦里，第一只为你停摆的时钟吧,,,,,,,,,,,,,,,,
,进入场景2,"固定事件2
·小舅",神明降下倒影，将你我的笑颜困在胶卷,,,,,,,,,,,,,,,,
,,,暗房的显影液，洗不出故乡的坐标,,,,,,,,,,,,,,,,
,,,叛逆的贝斯声也盖不住催婚的生锈唠叨,,,,,,,,,,,,,,,,
,,,摔门而去的那天，怒火被疯狂的低语凝结成冰,,,,,,,,,,,,,,,,
,,,自由的飞鸟折翅，将车冲出了路沿石,,,,,,,,,,,,,,,,
,,,引擎轰鸣，舞台空荡,,,,,,,,,,,,,,,,
,,,绝望宜长歌，囹圄宜狂奔,,,,,,,,,,,,,,,,
,,,拾忆隐约看见他挥了挥手，背过身去，化作一只白鸟，飞出镇去。,,,,,,,,,,,,,,,,
,,,对不起呀，没能带你去看我的演出,,,,,,,,,,,,,,,,
,,,门票留给最可爱的小拾忆，快快飞出这场吃人的梦境,,,,,,,,,,,,,,,,
,通关关卡3,"固定事件3
·姥姥",老一辈的传言在炉火边缄默不语,,,,,,,,,,,,,,,,
,,,我以为把门锁关好，厄运就追不进团圆饭,,,,,,,,,,,,,,,,
,,,可是那只总也长不大的野鸟，还是折断在了镇外,,,,,,,,,,,,,,,,
,,,连同我牵挂的心一同摔了个碎,,,,,,,,,,,,,,,,
,,,原谅我颤巍巍的双腿，还要去那最后一次的后山,,,,,,,,,,,,,,,,
,,,既然留不住活人，老太婆就去替你们求一求鬼神,,,,,,,,,,,,,,,,
,,,“山神啊山神，保佑我全家平平安安，健健康康。”,,,,,,,,,,,,,,,,
,,,殊不知那山中，早就不住神仙,,,,,,,,,,,,,,,,
,通关关卡4,"固定事件4·
父母",地图被红笔画满了叉，,,,,,,,,,,,,,,,,
,,,带她走，带她走，字迹潦草得像个哑巴。,,,,,,,,,,,,,,,,
,,,地下室的门被推开的那一刻，,,,,,,,,,,,,,,,,
,,,理智与心脏同时宣告崩塌。,,,,,,,,,,,,,,,,
,,,父母是没有退路的砖墙，碎裂也要挡在孩子前方。,,,,,,,,,,,,,,,,
,通关关卡5,"固定事件5·
小佳",,,,,,,,,,,,,,,,,
,,,靠得太近的取暖者，终会被对方身上的寒冰一同冻结,,,,,,,,,,,,,,,,
,,,书签上的四叶草已经枯黄，,,,,,,,,,,,,,,,,
,,,那是她为你折下的，最后的晴朗。,,,,,,,,,,,,,,,,
,,,下水道里哭声仍不停，墙壁里的耳朵悄声诉，,,,,,,,,,,,,,,,,
,,,白噪音卡在那个盛夏的午后，,,,,,,,,,,,,,,,,
,,,水龙头滴答，滴答。,,,,,,,,,,,,,,,,
,,,她潜入浴缸，终于关掉了全世界的喧哗,,,,,,,,,,,,,,,,
,,"固定事件6·
拾忆",,,,,,,,,,,,,,,,,
,通关关卡6,,日记里简笔画的脸庞，正随风一片片剥落。,,,,,,,,,,,,,,,,
,,,大人们说，遗忘是最好的麻药，,,,,,,,,,,,,,,,,
,,,医生说，吃下这颗白色的丸，把脑子里的黑水草拔走。,,,,,,,,,,,,,,,,
,,,可我是提着破布口袋的拾荒者，,,,,,,,,,,,,,,,,
,,,在白色的病房里，捡拾这三年不化的盛夏与大雪。,,,,,,,,,,,,,,,,
,,,那座名叫后山的神龛，是一张流着涎水的巨口，,,,,,,,,,,,,,,,,
,,,它嚼碎了贝斯、缝纫机、四叶草和错位生锈的爱。,,,,,,,,,,,,,,,,
,,,它引诱我：来吧，把破烂埋进土里，把灵魂还给泥沼。,,,,,,,,,,,,,,,,
,,,但我想要把他们从神明的胃里抠出来，,,,,,,,,,,,,,,,,
,,,安放在，永远不会死去的王国。,,,,,,,,,,,,,,,,
,,end1（分数高）,阳光砸在病房的地板上，我看着镜子里那个不再逃避的女孩。,,,,end2（分数低）,他们说我痊愈了。,,,,,,,,,,,
,,,我没有把他们的遗物还给那座山。,,,,,我木然地收拾好行李，走出医院。天空是惨白的，我的脑子里也是一片惨白。,,,,,,,,,,,
,,,我终于明白，神明之所以可怖，是因为我们总觉得与未知的恐惧生活在一个世界。,,,,,那些破烂的小鱼玩具、空药瓶、坏底片，重得像铅块，压得我喘不过气。,,,,,,,,,,,
,,,但我的世界始终应是我的，我的亲人，友情，小猫都是如此真实的，可知的爱。,,,,,有个声音在指甲缝里、在耳膜深处催促我：‘物归原主……物归原主……’,,,,,,,,,,,
,,,既然如此，那就让我来制定规则吧。,,,,,我回到了那栋房子。,,,,,,,,,,,
,,,我敲击键盘，将那不可名状的阴影，压缩成一行行冰冷的代码；,,,,,凌晨的后山，土很软，像刚翻开的血肉。,,,,,,,,,,,
,,,我把后山连绵的诅咒，锁进几百兆的像素方块里。,,,,,我跪在地上，徒手挖出一个个坑，把那些我看一眼就觉得头痛的垃圾全扔了进去。,,,,,,,,,,,
